gene_symbol,exon_length
0610005C13Rik,11479
0610006L08Rik,8622
0610009E02Rik,17021
0610009K14Rik,2025
0610009L18Rik,9531
0610012D04Rik,531
0610025J13Rik,7448
0610030E20Rik,11504
0610031O16Rik,2833
0610033M10Rik,8838
0610038B21Rik,7844
0610039G09Rik,6301
0610039H22Rik,1363
0610039K10Rik,1990
0610040B10Rik,15116
0610040F04Rik,18627
0610043K17Rik,12425
0710001A04Rik,1345
1010001B22Rik,3998
1100001I12Rik,2099
1110002E22Rik,10206
1110002J07Rik,6270
1110002L01Rik,34523
1110002O04Rik,4861
1110003F10Rik,767
1110004F10Rik,4689
1110006O24Rik,1462
1110008E08Rik,1444
1110015O18Rik,29388
1110018N20Rik,6236
1110019B22Rik,5906
1110019D14Rik,15370
1110020A21Rik,6425
1110025M09Rik,855
1110028F11Rik,2984
1110028F18Rik,6076
1110032F04Rik,2578
1110035H17Rik,1795
1110038B12Rik,31055
1110038F14Rik,4133
1110046J04Rik,6297
1110058D11Rik,6256
1110059E24Rik,5526
1110059G10Rik,6634
1110060G06Rik,499
1110065P20Rik,4540
1190001M18Rik,1270
1190005I06Rik,1505
1190028D05Rik,3022
1200007C13Rik,4370
1300002E11Rik,9454
1300014J16Rik,11409
1500002C15Rik,10994
1500002F19Rik,4822
1500004A13Rik,57918
1500004F05Rik,663
1500005C15Rik,2394
1500009L16Rik,3878
1500012K07Rik,6750
1500015A07Rik,4043
1500015L24Rik,12316
1500026H17Rik,7357
1500032F14Rik,5646
1500035N22Rik,4800
1600002D24Rik,9184
1600010M07Rik,4475
1600012H06Rik,7267
1600012P17Rik,2850
1600014C10Rik,7617
1600014C23Rik,518
1600015H23Rik,2508
1600017P15Rik,890
1600019K03Rik,804
1600020E01Rik,30553
1600022D10Rik,2379
1600023N17Rik,1007
1600025M17Rik,1213
1600027J07Rik,2809
1600029O15Rik,2326
1700001D01Rik,565
1700001F09Rik,884
1700001G01Rik,20099
1700001G11Rik,21290
1700001G17Rik,2134
1700001J03Rik,1080
1700001J04Rik,12461
1700001K19Rik,1231
1700001K23Rik,19380
1700001L05Rik,17393
1700001N15Rik,482
1700001O22Rik,6193
1700003C15Rik,6596
1700003D09Rik,1632
1700003E16Rik,4090
1700003E24Rik,1180
1700003F12Rik,1627
1700003G18Rik,3643
1700003H04Rik,2174
1700003I16Rik,1058
1700003I22Rik,3314
1700003L19Rik,14091
1700003M07Rik,22776
1700003N22Rik,808
1700003O11Rik,1293
1700003P14Rik,14564
1700006A11Rik,2407
1700006F04Rik,1279
1700006H21Rik,9251
1700006J14Rik,9987
1700006P03Rik,409
1700007E05Rik,1499
1700007F19Rik,43656
1700007H22Rik,9847
1700007J10Rik,4831
1700007J24Rik,987
1700007L15Rik,10390
1700007P06Rik,3770
1700008A07Rik,647
1700008A23Rik,691
1700008B11Rik,675
1700008C04Rik,5259
1700008F19Rik,4452
1700008H02Rik,1684
1700008J07Rik,4622
1700008K24Rik,7795
1700008N11Rik,9762
1700008O03Rik,5361
1700008P02Rik,2735
1700009C05Rik,8235
1700009J07Rik,2070
1700009N14Rik,1258
1700010B08Rik,6593
1700010B13Rik,5242
1700010D01Rik,507
1700010G06Rik,1194
1700010H22Rik,5702
1700010I02Rik,4592
1700010I14Rik,4172
1700010J16Rik,5050
1700010K23Rik,552
1700010K24Rik,269
1700010L04Rik,6634
1700010L13Rik,637
1700010N08Rik,189
1700011B04Rik,10794
1700011C11Rik,4019
1700011D18Rik,277
1700011L03Rik,2965
1700011L22Rik,1350
1700012A03Rik,1851
1700012B07Rik,2718
1700012B09Rik,1732
1700012C08Rik,363
1700012C14Rik,7367
1700012D16Rik,2195
1700012E03Rik,2574
1700012H19Rik,2358
1700012I11Rik,16899
1700012J15Rik,9984
1700012J22Rik,830
1700012M20Rik,4679
1700012O15Rik,1240
1700013A02Rik,645
1700013D24Rik,2234
1700013G24Rik,1048
1700013H16Rik,1224
1700013M08Rik,3072
1700013N06Rik,3768
1700014B07Rik,818
1700014F14Rik,1948
1700014L14Rik,6528
1700015C15Rik,3939
1700015C17Rik,2756
1700015H07Rik,1233
1700015I17Rik,2705
1700015O11Rik,3384
1700016A09Rik,1578
1700016B01Rik,2746
1700016B15Rik,733
1700016C19Rik,5007
1700016C23Rik,1025
1700016D08Rik,704
1700016F12Rik,726
1700016G22Rik,9746
1700016H03Rik,2189
1700016H13Rik,4404
1700016J18Rik,8077
1700016K05Rik,3711
1700016L21Rik,27363
1700016P03Rik,4638
1700016P04Rik,6482
1700017B05Rik,10596
1700017G19Rik,33960
1700017I07Rik,2382
1700017J07Rik,4544
1700017L05Rik,8098
1700017M07Rik,16070
1700017N19Rik,5014
1700018A04Rik,37197
1700018A14Rik,711
1700018A23Rik,4732
1700018B08Rik,1852
1700018B24Rik,832
1700018F24Rik,1122
1700018L02Rik,3380
1700018M17Rik,2728
1700018P08Rik,2130
1700018P22Rik,9620
1700019A02Rik,1021
1700019A23Rik,196
1700019C18Rik,25773
1700019D03Rik,6544
1700019F05Rik,2170
1700019G24Rik,4132
1700019J19Rik,11800
1700019L13Rik,6729
1700019P21Rik,2273
1700020A23Rik,1774
1700020B03Rik,579
1700020D12Rik,6578
1700020D14Rik,5155
1700020G03Rik,889
1700020G17Rik,17269
1700020K04Rik,504
1700020L13Rik,4778
1700020L24Rik,1513
1700020M21Rik,644
1700020N01Rik,2126
1700020N15Rik,525
1700020N18Rik,6093
1700021A07Rik,4966
1700021F02Rik,764
1700021G15Rik,2684
1700021J08Rik,2929
1700021L22Rik,4159
1700021N21Rik,17308
1700021P04Rik,1950
1700022A21Rik,5385
1700022A22Rik,4109
1700022E09Rik,5015
1700022H01Rik,2918
1700022H16Rik,542
1700022N22Rik,17334
1700023A20Rik,996
1700023C21Rik,4082
1700023F02Rik,16940
1700023G09Rik,16301
1700023H06Rik,2112
1700024B05Rik,1576
