Gene name	Human gene name
mt-Nd1	MT-ND1
mt-Nd2	MT-ND2
mt-Co1	MT-CO1
mt-Co2	MT-CO2
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
mt-Nd3	MT-ND3
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
mt-Cytb	MT-CYB
Kdm5d	KDM5D
Uty	UTY
Ddx3y	DDX3Y
Usp9y	USP9Y
Gm25565	RNU6-1214P
Sry	SRY
Chst9	CHST9
Cdh2	CDH2
Cep120	CEP120
Csnk1g3	CSNK1G3
Dsc3	DSC3
Zfp608	ZNF608
Gm22597	RNU6-1255P
Gm24514	Metazoa_SRP
Gramd2b	GRAMD2B
Dsc2	DSC2
Dsc1	DSC1
Aldh7a1	ALDH7A1
Dsg4	DSG4
Phax	PHAX
Spmip10	SPMIP10
Lmnb1	LMNB1
Klf9	KLF9
Marchf3	MARCHF3
Habp2	HABP2
Dsg3	DSG3
C330018D20Rik	C5orf63
Smc5	SMC5
Dsg2	DSG2
Ttr	TTR
B4galt6	B4GALT6
Megf10	MEGF10
Mamdc2	MAMDC2
Trappc8	TRAPPC8
Cfap95	CFAP95
Ptar1	PTAR1
Apba1	APBA1
Rnf125	RNF125
Rnf138	RNF138
Entrep1	ENTREP1
Tjp2	TJP2
Mep1b	MEP1B
Garem1	GAREM1
Fbn2	FBN2
Fxn	FXN
Pip5k1b	PIP5K1B
Klhl14	KLHL14
Pabir1	PABIR1
Tmem252	TMEM252
Pgm5	PGM5
Slc27a6	SLC27A6
Isoc1	ISOC1
Adamts19	ADAMTS19
Nrap	NRAP
Ccdc178	CCDC178
Gpr50	GPR50
Minar2	MINAR2
Vma21	VMA21
Gm23787	SNORD114-14
Mir299a	MIR299
Lratd1	LRATD1
Mir323	MIR323A
Mir494	MIR494
Chsy3	CHSY3
Mir381	MIR381
Trib2	TRIB2
Htr2c	HTR2C
Nol4	NOL4
Vrtn	VRTN
Mir382	MIR382
Mir134	MIR134
Mir668	MIR668
Mir154	MIR154
Mir496a	MIR496
Mir377	MIR377
Syndig1l	SYNDIG1L
Mir541	MIR541
Rlim	RLIM
Mir412	MIR412
Mir410	MIR410
Nubpl	NUBPL
Krtap8-1	KRTAP8-1
Krtap7-1	KRTAP7-1
Krtap11-1	KRTAP11-1
Bmerb1	BMERB1
Snora35	SNORA35
Npc2	NPC2
Pasd1	PASD1
Rbm22	RBM22
Ndufb4	NDUFB4
Isca2	ISCA2
Marf1	MARF1
Mir448	MIR448
Arhgap5	ARHGAP5
Prrg3	PRRG3
Dtna	DTNA
Akap6	AKAP6
Nexmif	NEXMIF
Mir484	MIR484
Fate1	FATE1
Fstl1	FSTL1
Il13ra2	IL13RA2
Npas3	NPAS3
Btnl12	BTN3A1
Lrrc58	LRRC58
Gpr156	GPR156
Cnga2	CNGA2
Gsk3b	GSK3B
Egln3	EGLN3
Casp7	CASP7
Ltbp2	LTBP2
Abcb7	ABCB7
Dock8	DOCK8
Nde1	NDE1
Uprt	UPRT
Gabre	GABRE
Zdhhc15	ZDHHC15
Mapre2	MAPRE2
Kank1	KANK1
Magee2	MAGEE2
Gabra3	GABRA3
Tiam1	TIAM1
Dmrt1	DMRT1
Ppp2r5c	PPP2R5C
Dmrt3	DMRT3
Dmrt2	DMRT2
Zfp397	ZNF397
Gm25176	RNU4-5P
Nhlrc2	NHLRC2
Zfp24	ZNF24
Ccdc134	CCDC134
Ino80c	INO80C
Adrb1	ADRB1
Ccdc186	CCDC186
Galnt1	GALNT1
Mroh2b	MROH2B
Lrch2	LRCH2
Pacs1	PACS1
Arel1	AREL1
Sod1	SOD1
Mir187	MIR187
2700062C07Rik	C18orf21
Scaf4	SCAF4
C7	C7
Rprd1a	RPRD1A
Gm25652	RNU6-49P
Card6	CARD6
Rpl37	RPL37
Cdx1	CDX1
Tpgs2	TPGS2
Snord72	SNORD72
Prkaa1	PRKAA1
Sf3b2	SF3B2
Pbdc1	PBDC1
Ppargc1b	PPARGC1B
Srebf2	SREBF2
Dync1h1	DYNC1H1
Hunk	HUNK
Magee1	MAGEE1
Fgf16	FGF16
Mir378a	MIR378A
Celf4	CELF4
Mis18a	MIS18A
Gal3st3	GAL3ST3
Catsper1	CATSPER1
Mrap	MRAP
Mtbp	MTBP
Atrx	ATRX
Urb1	URB1
Cst6	CST6
Tdrd1	TDRD1
Fcf1	FCF1
Hsp90aa1	HSP90AA1
Myh11	MYH11
Mir33	MIR33A
Shisa8	SHISA8
Lpin1	LPIN1
Sntb1	SNTB1
Pik3c3	PIK3C3
Ttc33	TTC33
Gm23972	RNU1-148P
Gm23656	RNU6-321P
Has2	HAS2
Ptger4	PTGER4
Magt1	MAGT1
Fam169a	FAM169A
Banf1	BANF1
Zhx2	ZHX2
Eif1ad	EIF1AD
Derl1	DERL1
Vwa2	VWA2
Tbc1d31	TBC1D31
Nsa2	NSA2
Cep20	CEP20
Rit2	RIT2
Tfap2a	TFAP2A
Il17b	IL17B
Apex2	APEX2
Eva1c	EVA1C
Pcyox1l	PCYOX1L
Sart1	SART1
Grpel2	GRPEL2
Afap1l1	AFAP1L1
Fer1l6	FER1L6
Gm54392	RN7SKP297
Tmem65	TMEM65
Tsga10ip	TSGA10IP
Cfap298	CFAP298
Nme8	NME8
Alas2	ALAS2
Trmt12	TRMT12
Drap1	DRAP1
Rnf139	RNF139
Ablim3	ABLIM3
Dab2	DAB2
Igsf11	IGSF11
Ntsr2	NTSR2
Atp7a	ATP7A
Clxn	CLXN
Ylpm1	YLPM1
AI837181	C11orf68
Fosl1	FOSL1
Sh3tc2	SH3TC2
Ccdc85b	CCDC85B
Gpr141	GPR141
Afap1l2	AFAP1L2
Synj1	SYNJ1
Aoah	AOAH
Adrb2	ADRB2
Wdr33	WDR33
Mok	MOK
Pgk1	PGK1
Prox2	PROX2
Taf9b	TAF9B
Gfm2	GFM2
Zfp839	ZNF839
Rpl39	RPL39
Sft2d3	SFT2D3
Htr4	HTR4
Ube2v2	UBE2V2
Mcm4	MCM4
Fibp	FIBP
Lims2	LIMS2
Agrp	AGRP
Cinp	CINP
Upf3b	UPF3B
Ripor1	RIPOR1
Paxbp1	PAXBP1
Ctsw	CTSW
Gpr17	GPR17
Myo7b	MYO7B
Pspc1	PSPC1
Nkap	NKAP
Dlst	DLST
Tatdn1	TATDN1
Ctcf	CTCF
